age,total_trip_duration,total_trips,average_trip_duration
101.0,862.0,1,862.0
94.0,1706.0,2,853.0
85.0,5899.0,8,737.375
75.0,84133.0,116,725.2844827586207
81.0,2162.0,3,720.6666666666666
118.0,695.0,1,695.0
16.0,76698.0,113,678.7433628318585
78.0,28865.0,44,656.0227272727273
70.0,357440.0,589,606.8590831918506
120.0,22730.0,39,582.8205128205128
85.0,1548.0,2,774.0
81.0,730.0,1,730.0
118.0,689.0,1,689.0
75.0,44921.0,68,660.6029411764706
16.0,22811.0,35,651.7428571428571
120.0,25705.0,43,597.7906976744187
89.0,2806.0,5,561.2
70.0,197051.0,357,551.9635854341736
71.0,171482.0,313,547.8658146964856
17.0,100509.0,184,546.2445652173913
