age,total_trip_duration,total_trips,average_trip_duration
89.0,446.0,2,223.0
130.0,492.0,2,246.0
77.0,19588.0,64,306.0625
98.0,6426.0,20,321.3
88.0,980.0,3,326.6666666666667
74.0,86037.0,186,462.56451612903226
65.0,1058963.0,2246,471.48842386464827
110.0,946.0,2,473.0
73.0,146207.0,309,473.1618122977346
72.0,59085.0,124,476.491935483871
80.0,327.0,2,163.5
88.0,564.0,2,282.0
77.0,16555.0,56,295.625
90.0,597.0,2,298.5
98.0,29659.0,94,315.52127659574467
82.0,1345.0,4,336.25
19.0,1701235.0,4836,351.78556658395365
76.0,2178.0,6,363.0
18.0,1155303.0,3026,381.79213483146066
20.0,1186827.0,2814,421.75799573560766
